;OpenOBJs Object v1.00							
;This Object's License is GNU GPL Version 2 or later							
;Copyright(C) 2014 Midnight Express Ginga81(ginga81)							
;基準開始位置		-0.45	m				
;車輪踏面							
;第四動輪							
;開始位置:	2.6575	半径	0.715	m	高さ	0.08	m
;左右	0.5685	下の半径	0.7	m			
CreateMeshBuilder							
Addvertex,	-0.4885	,	1.4150	,	2.2075		
Addvertex,	-0.4885	,	1.3906	,	2.3926		
Addvertex,	-0.4885	,	1.3192	,	2.5650		
Addvertex,	-0.4885	,	1.2056	,	2.7131		
Addvertex,	-0.4885	,	1.0575	,	2.8267		
Addvertex,	-0.4885	,	0.8851	,	2.8981		
Addvertex,	-0.4885	,	0.7000	,	2.9225		
Addvertex,	-0.4885	,	0.5149	,	2.8981		
Addvertex,	-0.4885	,	0.3425	,	2.8267		
Addvertex,	-0.4885	,	0.1944	,	2.7131		
Addvertex,	-0.4885	,	0.0808	,	2.5650		
Addvertex,	-0.4885	,	0.0094	,	2.3926		
Addvertex,	-0.4885	,	-0.0150	,	2.2075		
Addvertex,	-0.5685	,	1.4000	,	2.2075		
Addvertex,	-0.5685	,	1.3761	,	2.3887		
Addvertex,	-0.5685	,	1.3062	,	2.5575		
Addvertex,	-0.5685	,	1.1950	,	2.7025		
Addvertex,	-0.5685	,	1.0500	,	2.8137		
Addvertex,	-0.5685	,	0.8812	,	2.8836		
Addvertex,	-0.5685	,	0.7000	,	2.9075		
Addvertex,	-0.5685	,	0.5188	,	2.8836		
Addvertex,	-0.5685	,	0.3500	,	2.8137		
Addvertex,	-0.5685	,	0.2050	,	2.7025		
Addvertex,	-0.5685	,	0.0938	,	2.5575		
Addvertex,	-0.5685	,	0.0239	,	2.3887		
Addvertex,	-0.5685	,	0.0000	,	2.2075		
AddFace,	0	,	13	,	14	,	1
AddFace,	1	,	14	,	15	,	2
AddFace,	2	,	15	,	16	,	3
AddFace,	3	,	16	,	17	,	4
AddFace,	4	,	17	,	18	,	5
AddFace,	5	,	18	,	19	,	6
AddFace,	6	,	19	,	20	,	7
